poll_id,token,institution,is_info_useful,is_info_missing,missing_info,improvements,date,missing_info_sentiment,improvements_sentiment,missing_info_en,improvements_en,missing_info_adj,improvements_adj,missing_info_noun_adj,improvements_noun_adj,missing_info_en_adj,improvements_en_adj,missing_info_en_noun_adj,improvements_en_noun_adj
209,SRE113,SRE-03-003,0,Sí,donde se hace la cita no esta claro donde esta el formato,la informacion esta muy alargada y hay algunas inconsistencias entre los documentos que se deben presentar sobre todo en la informacion complementaria,2016-01-10,1.0,0,where the appointment is made it is not clear  where is the format,the information is very long and there are some inconsistencies among the documents to be submitted particularly in the supplementary information,claro,alargada complementaria,cita claro formato,información alargada inconsistencias documentos información complementaria,clear,long supplementary,appointment clear format,information long inconsistencies documents supplementary information
210,SRE113,SRE-03-003,0,Sí,en caso de renovacion hace falta poner si se ocupan fotos y tambien hace falta el formato para pagar considero que esta nuev actualizacion de la pagina hace mas complicado el tramite puesto que la forma de antes era mucho mas facil de entender y todo estaba a la mano era mas rapido antes y todo quedaba claro ademas no se puede acceder a la opcion de citas por internet,completar los pasos que debemos seguir por que siento que la informacion esta a medias ademas cambiar el formato de la pagina porque no se entiende,2016-01-11,1.0,1,in case of renewal need to put if photos are concerned and need the format to pay i consider this new york new york updating the page becomes more complicated procedure since the form before it was much easier to understand and everything was up to hand was faster before and everything was clear also can not access the internet dating option,complete the steps we must follow because i feel that the information is also half change the format of the page because it is not understood,nuev complicado puesto fácil rapido internet,medias,caso renovación falta fotos falta formato nuev actualización página complicado trámite puesto forma fácil mano rapido opción citas internet,pasos información medias formato página,concerned complicated clear,complete half,case renewal photos concerned need format pay New York New York updating page complicated procedure form everything hand everything clear internet dating option,complete steps information half change format page
214,INM820,INM-03-009-D,1,No,,formato basico en donde se puede llenar,2016-01-11,1.0,1,,in basic format where you can fill,,Básico,,Formato Básico,,Basic,,Basic format fill
215,SRE113,SRE-03-003,1,Sí,lugares y cuentas yo referencias para realizar los respectivos pagos,lo que propongo en la seccion anterior,2016-01-11,1.0,2,locations and accounts and  or references for the respective payments,what i propose in the previous section,respectivos,anterior,Lugares cuentas referencias respectivos pagos,sección anterior,respective,previous,Locations accounts references respective payments,previous section
216,CFE177,CFE-00-004,1,No,,a la hora de cargar los datos del domicilio como el municipio y la colonia la pagina se bloquea o falla el sistema y tienes que volver a cargar los datos es muy tardado tienes que intentarlo varias veces en mi caso abri los exploradores google chrome mozilla firefox e internet explorer y con todos es el mismo error,2016-01-11,0.0,0,,when charging data domicile and municipality and cologne the page is blocked or the system fails and you have to reload the data it is very time consuming have to try several times in my case abri explorers google chrome firefox mozilla and internet explorer and all is the same error,,TARDADO,,HORA DATOS DOMICILIO MUNICIPIO DATOS TARDADO VECES CASO EXPLORADORES ERROR,,several SAME,,DATA domicile municipality COLOGNE page system reload data time several times CASE Abri EXPLORERS GOOGLE CHROME FIREFOX MOZILLA INTERNET EXPLORER SAME ERROR
217,IMSS164,IMSS-02-008,1,Sí,yo quiero cambiarme de consultorio ya que estoy dada de alta en otro municipio y no puedo ya que tengo que ir directo al nuevo consultorio podrian hacerlo mas facil via internet asi los que tenemos horario corrido se nos facilitaran los tramites,el tramite de cambio de consultorios via internet que no aparezca la pantalla de que ya esta asignado el nss,2016-01-11,0.0,1,i want to change my office as i am discharged in another town and i can not because i have to go straight to the new office could make it easier via the internet so that we straight time we facilitate the paperwork,the process of changing offices via the internet the screen display is not already assigned the nss,consultorio dada alta directo nuevo fácil corrido,consultorios asignado,consultorio dada alta municipio directo nuevo consultorio fácil horario corrido trámites,trámite cambio consultorios pantalla asignado nss,new easier straight,,change office town new office easier Internet straight time paperwork,process changing offices Internet screen display nss
218,SFP54,SFP-04-001,0,Sí,en general es una porqueria su pagina no esta a la altura de otras paginas y la informacion esta pesimamente clasificada informacion encimada telefonos mal separados entre si etcetc,todo,2016-01-11,0.0,0,in general it sucks your page it is not up to other pages and information is badly classified encimada information wrong phones apart from each other etcetc,everything,clasificada encimada separados etc.etc,,página páginas información clasificada información encimada teléfonos separados etc.etc,,general Encimada wrong,,general page information Encimada information wrong phones,everything
219,SEP71,SEP-01-031-A,0,No,,que sean serios en este tipo de tramites son unos burocratas de tercer mundo tengo mas de dos meses que no me han resuelto mi tramite de cedula,2016-01-12,0.0,0,,they are serious in such proceedings are bureaucrats third world i have more than two months have resolved me my process cedula,,SERIOS TERCER,,SERIOS TIPO TRAMITES BURÓCRATAS TERCER MUNDO MESES trámite CEDULA,,SERIOUS SUCH THIRD MORE,,SERIOUS SUCH PROCEEDINGS bureaucrats THIRD WORLD MORE MONTHS PROCESS CEDULA
221,SEDENA38,SEDENA-01-009,1,Sí,donde se puede realizar el pago correspondiente y por ende los numeros de referencia para hacerlo o en su caso poder imprimir una hoja para poder hacer el pago,hacer los pagos en linea por transferencia seria una buena opcion,2016-01-12,2.0,2,where you can pay and therefore corresponding reference numbers to do or where necessary to print a sheet to make payment,you make online payments transfer would be a good option,correspondiente,buena,pago correspondiente números referencia caso hoja pago,pagos transferencia buena opción,necessary,online good,reference numbers necessary print sheet payment,online payments transfer good option
222,IMSS164,IMSS-02-008,1,No,,que el tramite sea por via internet,2016-01-12,1.0,1,,that the process is by via internet,,,,trámite internet,,,,process internet
223,SRE144,SRE-03-007-A,1,Sí,la forma para pagar  donde pago  dice los montos pero no viene la forma ni donde debo pagar,poner el formato en los costos,2016-01-12,0.0,0,how to pay  where do i pay  says the amounts but does not come form or where i pay,put the format on costs,,,forma pago montos forma,formato costos,,,amounts form,format costs
